id;commentaire;created_at;cours_id;utilisateur_id
1;Lithuania;2023-05-31T00:00:54;1;1
2;leverage;2023-05-30T19:22:45;2;2
3;Central Buckinghamshire;2023-05-30T16:09:57;3;3
4;orchid contingency Frozen;2023-05-31T04:50:49;4;4
5;program green Practical;2023-05-30T18:59:05;5;5
6;port Incredible;2023-05-31T03:31:18;6;6
7;reciprocal brand;2023-05-31T00:26:44;7;7
8;cross-media bus online;2023-05-30T10:42:48;8;8
9;deliverables plum Handmade;2023-05-30T22:49:26;9;9
10;Operative regional capability;2023-05-30T20:02:52;10;10
